# ATMO chemical composition profiles
# Chemical abundances given as mole fraction for the 8 most abundant species
# Model Level      Pressure [Ba]    Temperature [K]  H2               He               H2O              CH4              H                CO               N2               NH3             
  71               8.65871648E+01   1.50097055E+03   8.38156880E-01   1.60440878E-01   7.59217672E-04   5.08825002E-04   1.74258842E-06   2.18246796E-05   4.70470607E-05   2.73178957E-05  
  72               9.84482721E+01   1.54523822E+03   8.38162880E-01   1.60438658E-01   7.53897057E-04   5.03046158E-04   2.73861405E-06   2.79054203E-05   4.70468068E-05   2.73171951E-05  
  73               1.11662924E+02   1.59333938E+03   8.38171066E-01   1.60435709E-01   7.46320909E-04   4.95018940E-04   4.36414909E-06   3.60352166E-05   4.70463956E-05   2.73148947E-05  
  74               1.26201828E+02   1.64249531E+03   8.38163739E-01   1.60429069E-01   7.37507602E-04   4.85308766E-04   6.82936075E-06   4.56708396E-05   4.70455677E-05   2.73080093E-05  
  75               1.42010297E+02   1.69675714E+03   8.38158382E-01   1.60423921E-01   7.44019946E-04   4.70794366E-04   1.09178453E-05   6.01191490E-05   4.70690522E-05   2.73029544E-05  
  76               1.59152739E+02   1.74736403E+03   8.38169493E-01   1.60419242E-01   7.31587747E-04   4.57827865E-04   1.63938928E-05   7.29444017E-05   4.70656853E-05   2.72872877E-05  
  77               1.77725720E+02   1.80061648E+03   8.38180334E-01   1.60413552E-01   7.17238635E-04   4.42611867E-04   2.45754295E-05   8.79762023E-05   4.70512060E-05   2.72754052E-05  
  78               1.97771748E+02   1.85025289E+03   8.38183003E-01   1.60407639E-01   7.05606965E-04   4.28755506E-04   3.49396938E-05   1.01614751E-04   4.69936081E-05   2.73841792E-05  
  79               2.19251570E+02   1.90221852E+03   8.38176287E-01   1.60399985E-01   6.96295275E-04   4.12704445E-04   4.96048494E-05   1.17381887E-04   4.69033483E-05   2.75006827E-05  
  80               2.41808389E+02   1.94954196E+03   8.38147843E-01   1.60390951E-01   6.96652690E-04   3.98030537E-04   6.68775973E-05   1.31744529E-04   4.67291382E-05   2.77946292E-05  
  81               2.64827866E+02   1.99725517E+03   8.38086837E-01   1.60377659E-01   7.10119694E-04   3.80214985E-04   8.92605044E-05   1.49186872E-04   4.65647209E-05   2.80236369E-05  
  82               2.90361700E+02   2.04337704E+03   8.38013283E-01   1.60365415E-01   7.38723648E-04   3.61987295E-04   1.16042620E-04   1.67021870E-04   4.63150421E-05   2.84341039E-05  
  83               3.16394980E+02   2.08995969E+03   8.37998335E-01   1.60358834E-01   7.26447549E-04   3.49238220E-04   1.49748310E-04   1.79306791E-04   4.60887488E-05   2.87696027E-05  
  84               3.41979246E+02   2.13003456E+03   8.37967866E-01   1.60351331E-01   7.17543886E-04   3.39884877E-04   1.84215628E-04   1.88202740E-04   4.58081708E-05   2.92236369E-05  
  85               3.71217729E+02   2.17585770E+03   8.37937905E-01   1.60344225E-01   7.06972902E-04   3.28721509E-04   2.31711797E-04   1.98780663E-04   4.55297219E-05   2.96458168E-05  
  86               3.97729702E+02   2.21229677E+03   8.37906491E-01   1.60338605E-01   7.00141278E-04   3.21363703E-04   2.75380886E-04   2.05620266E-04   4.52294650E-05   3.01335481E-05  
  87               4.20020369E+02   2.24385612E+03   8.37874802E-01   1.60333076E-01   6.93679936E-04   3.14395710E-04   3.18922736E-04   2.12095766E-04   4.50125388E-05   3.04604257E-05  
  88               4.45960953E+02   2.27611025E+03   8.37836234E-01   1.60327540E-01   6.88529707E-04   3.08653775E-04   3.67956214E-04   2.17293769E-04   4.47163125E-05   3.09407568E-05  
  89               4.76032089E+02   2.31424008E+03   8.37749181E-01   1.60313514E-01   6.81834821E-04   3.01277382E-04   4.34267802E-04   2.23945923E-04   4.44093151E-05   3.14064603E-05  
  90               5.11071122E+02   2.35374370E+03   8.37678760E-01   1.60305487E-01   6.80839643E-04   2.94226525E-04   5.11323185E-04   2.30217006E-04   4.40205013E-05   3.20333553E-05  
